"gs_name","ensembl_gene"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000142208"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000105221"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000117020"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000275199"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000137486"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000141480"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000115966"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000128272"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000176697"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000157764"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000141837"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000148408"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000151067"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000285479"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000157388"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000198216"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000102001"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000006283"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000196557"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000100346"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000081248"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000153956"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000007402"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000157445"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000151062"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000284953"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000067191"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000165995"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000167535"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000182389"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000108878"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000166862"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000006116"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000075461"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000075429"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000130433"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000105605"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000142408"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000164305"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000170458"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000101224"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000070831"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000187446"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000166869"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000213341"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000167193"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000099942"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000204209"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000206206"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000206279"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000227046"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000229396"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000231617"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000175197"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000120129"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000143507"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000275932"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000276023"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000111266"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000280962"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000158050"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000108861"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000120875"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000138166"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000139318"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000164086"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000184545"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000273793"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000278165"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000130829"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000130159"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000138798"
"KEGG_MAPK_SIGNALING_PATHWAY","ENSG00000146648"
